BBBP,000,/etc/release
BBBP,169,/proc/cpuinfo,"fpu		: yes"
BBBP,170,/proc/cpuinfo,"fpu_exception	: yes"
BBBP,171,/proc/cpuinfo,"cpuid level	: 6"
BBBP,172,/proc/cpuinfo,"wp		: yes"
BBBP,173,/proc/cpuinfo,"flags		: fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm 3dnowext 3dnow constant_tsc rep_good nopl nonstop_tsc extd_apicid aperfmperf pni monitor cx16 popcnt lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt cpb npt lbrv svm_lock nrip_save pausefilter"
BBBP,174,/proc/cpuinfo,"bogomips	: 6600.43"
BBBP,175,/proc/cpuinfo,"TLB size	: 1024 4K pages"
BBBP,176,/proc/cpuinfo,"clflush size	: 64"
BBBP,177,/proc/cpuinfo,"cache_alignment	: 64"
BBBP,178,/proc/cpuinfo,"address sizes	: 48 bits physical, 48 bits virtual"
BBBP,179,/proc/cpuinfo,"power management: ts ttp tm stc 100mhzsteps hwpstate cpb"
BBBP,180,/proc/cpuinfo,""
BBBP,181,/proc/meminfo
BBBP,182,/proc/meminfo,"MemTotal:       16304688 kB"
BBBP,183,/proc/meminfo,"MemFree:         7291876 kB"
BBBP,184,/proc/meminfo,"Buffers:          658908 kB"
BBBP,185,/proc/meminfo,"Cached:          4428840 kB"
BBBP,186,/proc/meminfo,"SwapCached:            0 kB"
BBBP,187,/proc/meminfo,"Active:          5011144 kB"
BBBP,188,/proc/meminfo,"Inactive:        3038352 kB"
BBBP,189,/proc/meminfo,"Active(anon):    2964252 kB"
BBBP,190,/proc/meminfo,"Inactive(anon):    26488 kB"
BBBP,191,/proc/meminfo,"Active(file):    2046892 kB"
BBBP,192,/proc/meminfo,"Inactive(file):  3011864 kB"
BBBP,193,/proc/meminfo,"Unevictable:           0 kB"
BBBP,194,/proc/meminfo,"Mlocked:               0 kB"
BBBP,195,/proc/meminfo,"SwapTotal:      14274556 kB"
BBBP,196,/proc/meminfo,"SwapFree:       14274556 kB"
BBBP,197,/proc/meminfo,"Dirty:               468 kB"
BBBP,198,/proc/meminfo,"Writeback:             0 kB"
BBBP,199,/proc/meminfo,"AnonPages:       2961532 kB"
BBBP,200,/proc/meminfo,"Mapped:           356136 kB"
BBBP,201,/proc/meminfo,"Shmem:             29052 kB"
BBBP,202,/proc/meminfo,"Slab:             634104 kB"
BBBP,203,/proc/meminfo,"SReclaimable:     580340 kB"
BBBP,204,/proc/meminfo,"SUnreclaim:        53764 kB"
BBBP,205,/proc/meminfo,"KernelStack:        5296 kB"
BBBP,206,/proc/meminfo,"PageTables:        50464 kB"
BBBP,207,/proc/meminfo,"NFS_Unstable:          0 kB"
BBBP,208,/proc/meminfo,"Bounce:                0 kB"
BBBP,209,/proc/meminfo,"WritebackTmp:          0 kB"
BBBP,210,/proc/meminfo,"CommitLimit:    22426900 kB"
BBBP,211,/proc/meminfo,"Committed_AS:    6420192 kB"
BBBP,212,/proc/meminfo,"VmallocTotal:   34359738367 kB"
BBBP,213,/proc/meminfo,"VmallocUsed:      345912 kB"
BBBP,214,/proc/meminfo,"VmallocChunk:   34359385084 kB"
BBBP,215,/proc/meminfo,"HardwareCorrupted:     0 kB"
BBBP,216,/proc/meminfo,"AnonHugePages:         0 kB"
BBBP,217,/proc/meminfo,"HugePages_Total:       0"
BBBP,218,/proc/meminfo,"HugePages_Free:        0"
BBBP,219,/proc/meminfo,"HugePages_Rsvd:        0"
BBBP,220,/proc/meminfo,"HugePages_Surp:        0"
BBBP,221,/proc/meminfo,"Hugepagesize:       2048 kB"
BBBP,222,/proc/meminfo,"DirectMap4k:      523840 kB"
BBBP,223,/proc/meminfo,"DirectMap2M:     9961472 kB"
BBBP,224,/proc/meminfo,"DirectMap1G:     6291456 kB"
BBBP,225,/proc/stat
BBBP,226,/proc/stat,"cpu  3389475 715364 1932331 26802969 53714 727 56950 0 0 0"
BBBP,227,/proc/stat,"cpu0 568599 138741 343048 4456883 7099 3 203 0 0 0"
BBBP,228,/proc/stat,"cpu1 561234 144372 367188 4436681 4953 4 164 0 0 0"
BBBP,229,/proc/stat,"cpu2 553544 139675 346526 4477002 3397 7 172 0 0 0"
BBBP,230,/proc/stat,"cpu3 539329 107851 280147 4591076 2720 18 330 0 0 0"
BBBP,231,/proc/stat,"cpu4 499644 97736 266965 4651669 2566 90 1477 0 0 0"
BBBP,232,/proc/stat,"cpu5 667122 86987 328454 4189655 32977 602 54602 0 0 0"
BBBP,233,/proc/stat,"intr 168774687 24691744 3 0 0 4 0 0 1 1 0 0 0 4 0 316975 0 2934 752753 12903 0 0 0 0 0 7635391 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 870 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 162886 1 0 0 0 0 0 0 2465628 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
BBBP,234,/proc/stat,"ctxt 234479277"
BBBP,235,/proc/stat,"btime 1354848754"
BBBP,236,/proc/stat,"processes 53286"
BBBP,237,/proc/stat,"procs_running 2"
BBBP,238,/proc/stat,"procs_blocked 0"
BBBP,239,/proc/stat,"softirq 45880732 0 19247260 9344 2675186 589296 0 7625148 8118247 80708 7535543"
BBBP,240,/proc/version
BBBP,241,/proc/version,"Linux version 3.2.0-34-generic (buildd@allspice) (gcc version 4.6.3 (Ubuntu/Linaro 4.6.3-1ubuntu5) ) #53-Ubuntu SMP Thu Nov 15 10:48:16 UTC 2012"
BBBP,242,/proc/net/dev
BBBP,243,/proc/net/dev,"Inter-|   Receive                                                |  Transmit"
BBBP,244,/proc/net/dev," face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed"
BBBP,245,/proc/net/dev,"    lo: 8587207   44362    0    0    0     0          0         0  8587207   44362    0    0    0     0       0          0"
BBBP,246,/proc/net/dev,"vmnet8:       0       0    0    0    0     0          0         0        0    1979    0    0    0     0       0          0"
BBBP,247,/proc/net/dev,"  eth1:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0"
BBBP,248,/proc/net/dev,"   tun: 146786761  157708    0    0    0     0          0         0 18998425  109544    0    0    0     0       0          0"
BBBP,249,/proc/net/dev,"  eth0: 2799593262 2159220    0    0    0     0          0         0 180773532 1160109    0    0    0     0       0          0"
BBBP,250,/proc/net/dev,"vmnet1:       0       0    0    0    0     0          0         0        0    1979    0    0    0     0       0          0"
BBBP,251,/proc/diskinfo
BBBP,252,/proc/diskstats
BBBP,253,/proc/diskstats,"   1       0 ram0 0 0 0 0 0 0 0 0 0 0 0"
BBBP,254,/proc/diskstats,"   1       1 ram1 0 0 0 0 0 0 0 0 0 0 0"
BBBP,255,/proc/diskstats,"   1       2 ram2 0 0 0 0 0 0 0 0 0 0 0"
BBBP,256,/proc/diskstats,"   1       3 ram3 0 0 0 0 0 0 0 0 0 0 0"
BBBP,257,/proc/diskstats,"   1       4 ram4 0 0 0 0 0 0 0 0 0 0 0"
BBBP,258,/proc/diskstats,"   1       5 ram5 0 0 0 0 0 0 0 0 0 0 0"
BBBP,259,/proc/diskstats,"   1       6 ram6 0 0 0 0 0 0 0 0 0 0 0"
BBBP,260,/proc/diskstats,"   1       7 ram7 0 0 0 0 0 0 0 0 0 0 0"
BBBP,261,/proc/diskstats,"   1       8 ram8 0 0 0 0 0 0 0 0 0 0 0"
BBBP,262,/proc/diskstats,"   1       9 ram9 0 0 0 0 0 0 0 0 0 0 0"
BBBP,263,/proc/diskstats,"   1      10 ram10 0 0 0 0 0 0 0 0 0 0 0"
BBBP,264,/proc/diskstats,"   1      11 ram11 0 0 0 0 0 0 0 0 0 0 0"
BBBP,265,/proc/diskstats,"   1      12 ram12 0 0 0 0 0 0 0 0 0 0 0"
BBBP,266,/proc/diskstats,"   1      13 ram13 0 0 0 0 0 0 0 0 0 0 0"
BBBP,267,/proc/diskstats,"   1      14 ram14 0 0 0 0 0 0 0 0 0 0 0"
BBBP,268,/proc/diskstats,"   1      15 ram15 0 0 0 0 0 0 0 0 0 0 0"
BBBP,269,/proc/diskstats,"   7       0 loop0 0 0 0 0 0 0 0 0 0 0 0"
BBBP,270,/proc/diskstats,"   7       1 loop1 0 0 0 0 0 0 0 0 0 0 0"
BBBP,271,/proc/diskstats,"   7       2 loop2 0 0 0 0 0 0 0 0 0 0 0"
BBBP,272,/proc/diskstats,"   7       3 loop3 0 0 0 0 0 0 0 0 0 0 0"
BBBP,273,/proc/diskstats,"   7       4 loop4 0 0 0 0 0 0 0 0 0 0 0"
BBBP,274,/proc/diskstats,"   7       5 loop5 0 0 0 0 0 0 0 0 0 0 0"
BBBP,275,/proc/diskstats,"   7       6 loop6 0 0 0 0 0 0 0 0 0 0 0"
BBBP,276,/proc/diskstats,"   7       7 loop7 0 0 0 0 0 0 0 0 0 0 0"
BBBP,277,/proc/diskstats,"   8       0 sda 88807 1742 3269810 81452 88106 464728 4385232 299008 0 28532 380320"
BBBP,278,/proc/diskstats,"   8       1 sda1 88476 1711 3266914 81336 83343 464728 4385232 298176 0 27704 379380"
BBBP,279,/proc/diskstats,"   8       2 sda2 165 31 1568 68 0 0 0 0 0 68 68"
BBBP,280,/proc/diskstats,"   8      16 sdb 5911 129 49215 37380 2912 5575 214432 52488 0 10548 89924"
BBBP,281,/proc/diskstats,"   8      32 sdc 7595 229 85224 52112 2819 5666 214432 51324 0 14032 103492"
BBBP,282,/proc/diskstats,"   8      48 sdd 507 2315 4068 628 0 0 0 0 0 492 624"
BBBP,283,/proc/diskstats,"   8      49 sdd1 310 1159 2470 208 0 0 0 0 0 208 208"
BBBP,284,/proc/diskstats,"   8      50 sdd2 165 1153 1318 324 0 0 0 0 0 324 324"
BBBP,285,/proc/diskstats,"  11       0 sr0 0 0 0 0 0 0 0 0 0 0 0"
BBBP,286,/proc/diskstats,"   9       0 md0 13778 0 133863 0 8540 0 213744 0 0 0 0"
BBBP,287,/proc/diskstats,"   8      64 sde 89129 2906 1177668 568040 205869 821400 8159008 8080556 0 728352 8652672"
BBBP,288,/proc/diskstats,"   8      65 sdb1 88964 2906 1176348 567872 197286 821400 8159008 7980064 0 640164 8552024"
